Country,Proved0reserves0Bcm,Proved0reserves0Bcf,Production0Bcm,Production0Bcf,R/P0Ratio0Years,,
Afghanistan,49.6,1750,0,0,0,,
Albania,0.8,29,0,0,0,,
Algeria,4504,159057.4,83.3,2931.1,54.4,,
Angola,308.1,10880.5,0.7,25.9,440.1,,
Argentina,332.2,11732.1,36.5,1288.7,9.1,,
Armenia,18,635.7,0,0,0,,
Australia,3471.4,122591.7,67.1,2368,51.8,,
Austria,9.7,341,1.2,44,8.1,,
Azerbaijan,1148.3,40553.1,18.2,641.7,63.2,,
Bahrain,172.1,6076.4,15.5,548.6,11.1,,
Bangladesh,232.2,8198.4,26.8,947.2,8.7,,
Barbados,0.1,5,0,0,0,,
Belarus,2.8,100,0.2,0,0,,
Belgium,0,0,0,0,0,,
Belize,0,0,0,0,0,,
Benin,1.1,40,0,0,0,,
Bhutan,0,0,0,0,0,,
Bolivia,281,9923.4,20.9,736.5,13.5,,
Bosnia-Herzegovina,0,0,0,0,0,,
Botswana,0,0,0,0,0,,
Brazil,423.5,14956.1,22.9,809.2,18.5,,
Brunei,276,9746.8,12.7,448.4,21.7,,
Bulgaria,5.7,200,0,0,0,,
Burkina Faso,0,0,0,0,0,,
Burundi,0,0,0,0,0,,
Cambodia,0,0,0,0,0,,
Cameroon,150,5297.2,0,0,0,,
Canada,1987.1,70174.6,163.5,5774.9,12.2,,
Cape Verde Islands,0,0,0,0,0,,
Central African Republic,0,0,0,0,0,,
Chad,0,0,0,0,0,-,-
Chile,40,1412.6,0.9,32.1,44.1,,
China,3841.3,135652.7,138,4872.1,27.8,,
Colombia,134.7,4758,11,389,12.2,,
Congo (DRC),1,35,0,0,0,,
Congo (Republic of),115,4061.2,0,0,0,,
Costa Rica,0,0,0,0,0,,
Cote d'Ivoire,28.3,1000,1.3,46.6,21.8,,
Croatia,24.9,880,1.7,60.6,14.6,,
Cuba,70.8,2500,0,0,0,,
Cyprus,141.6,5000.6,0,0,0,,
Czech Republic,4,140,0.2,8.7,20,,
Denmark,31,1094.8,4.6,162.2,6.7,,
Dominican Republic,0,0,0,0,0,,
Ecuador,10.9,384.9,0.6,20.4,18.2,,
Egypt,1846.3,65200,45.6,1609.6,40.5,,
El Salvador,0,0,0,0,0,,
Equatorial Guinea,36.8,1300,6.6,233.3,5.6,,
Eritrea,0,0,0,0,0,,
Estonia,0,0,0,0,0,,
Ethiopia,24.9,880,0,0,0,,
Faroe Islands,0,0,0,0,0,,
Finland,0,0,0,0.1,0,,
France,9.7,341,0.3,10.3,33.2,,
Gabon,28.3,1000,0.4,0,0,,
Gambia,0,0,0,0,0,,
Georgia,8.5,300,0,0,0,,
Germany,39,1376.4,7.2,253.9,5.4,,
Ghana,22.7,800,0,0,0,,
Greece,1,35,0,0.2,0,,
Greenland,0,0,0,0,0,,
Guadeloupe,0,0,0,0,0,,
Guatemala,0,0,0,0,0,,
Guinea,0,0,0,0,0,,
Guinea-Bissau,0,0,0,0,0,,
Guyana,0,0,0,0,0,,
Hong Kong,0,0,0,0,0,,
Hungary,7.8,277,1.9,65.5,4.1,,
Iceland,0,0,0,0,0,,
India,1488.5,52564.9,29.2,1032,50.9,,
Indonesia,2839,100260,75,2650.2,37.8,,
Iran,34020,1201404.8,192.5,6796.7,176.8,,
Iraq,3694,130452.4,1,36.3,3597.90,,
Ireland,9.9,350,0.4,13.2,24.8,,
Israel,181.2,6400,7.5,265.2,24.2,,
Italy,45,1590.2,6.2,217.6,7.3,,
Jamaica,0,0,0,0,0,,
Japan,20.9,738,5,174.9,4.2,,
Jordan,6,213,0,0,0,,
Kazakhstan,936,33055.3,12.4,436.6,75.7,,
Kenya,0,0,0,0,0,,
Korea (DRC),0,0,0,0,0,,
Korea (Republic),5.7,203,0.3,11.4,19,,
Kuwait,1784,63001.4,15,528.8,119.1,,
Kyrgyzstan,5.7,200,0,0,0,,
Laos,0,0,0,0,0,,
Latvia,0,0,0,0,0,,
Lebanon,0,0,0,0,0,,
Lesotho,0,0,0,0,0,,
Liberia,0,0,0,0,0,,
Libya,1504.9,53145.1,12.8,450.4,118,,
Lithuania,0,0,0,0,0,,
Luxembourg,0,0,0,0.2,0,,
Macedonia,0,0,0,0,0,,
Madagascar,0,0,0,0,0,,
Malawi,0,0,0,0,0,,
Malaysia,1169.3,41292,68.2,2408.5,17.1,,
Mali,0,0,0,0,0,,
Malta,0,0,0,0,0,,
Martinique,0,0,0,0,0,,
Mauritania,28.3,1000,0,0,0,,
Mauritius,0,0,0,0,0,,
Mexico,324.2,11447.4,53.2,1879.1,6.1,,
Moldova,0,0,0,0,0,,
Monaco,0,0,0,0,0,,
Mongolia,0,0,0,0,0,,
Montenegro,0,0,0,0,0,,
Morocco,1.4,51,0,0,0,,
Mozambique,2831.7,100000,5.6,0,765.3,,
Myanmar (Burma),528,0,19.6,0,16.9,,
Namibia,62.3,2200,0,0,0,,
Nepal,0,0,0,0,0,,
Netherlands,674.7,23827.2,43,1519.2,15.7,,
New Caledonia,0,0,0,0,0,,
New Zealand,28.3,1001,5.2,182.8,5.4,,
Nicaragua,0,0,0,0,0,,
Niger,0,0,0,0,0,,
Nigeria,5111,180493.2,50.1,1768.1,102.1,,
Norway,0,65575.8,117.2,4137.2,0,,
Oman,688.1,24300,34.9,1231.8,19.7,,
Pakistan,542.6,19160.2,41.9,1480.1,12.9,,
Papua New Guinea,141.3,4988.5,0.1,0,0,,
Paraguay,0,0,0,0,0,,
Peru,414.2,14626,12.5,0,0,,
Philippines,98.5,3480,3.7,441.2,33.1,,
Poland,94.5,3337.8,4.1,129.3,26.6,,
Portugal,0,0,0,144.5,23.1,,
Puerto Rico,0,0,0,0,0,,
Qatar,24528.1,866200,181.4,0,0,,
Reunion,0,0,0,6407.6,135.2,,
Romania,110,3884.6,10.3,0,0,,
Russia Federation,32271,1139640.7,573.3,364.2,10.7,,
Rwanda,56.6,2000,0,20246,56.3,,
Saudi Arabia,8325.2,294000,106.4,3758.4,78.2,,
Senegal,0,0,0,0,0,,
Serbia,30.5,1089.3,0.5,16.7,65.3,,
Sierra Leone,0,0,0,0,0,,
Singapore,0,0,0,0,0,,
Slovakia,14.2,500,0.1,3.5,142,,
Slovenia,0,0,0,0.1,0,,
Somalia,5.7,200,0,0,0,,
South Africa,0,0,3,107.4,0,,
Spain,2.5,90,0,0.8,0,,
Sri Lanka,0,0,0,0,0,,
Sudan,0,0,0,0,0,,
Suriname,0,0,0,0,0,,
Swaziland,0,0,0,0,0,,
Sweden,0,0,0,0,0,,
Switzerland,0,0,0,0.7,0,,
Syria,285,10064.7,4.3,152.5,66,,
Taiwan,6.2,220,0.4,13.4,15.5,,
Tajikistan,5.7,200,0,0,0,,
Tanzania,1316.7,46500,0,0,0,,
Thailand,219.5,7751.7,39.8,1406,5.5,,
Togo,0,0,0,0,0,,
Trinidad and Tobago,325.7,11503,39.6,1399.8,8.2,,
Tunisia,65.1,2300,2.6,90.4,25,,
Turkey,6.8,241,0.5,16.8,13.6,,
Turkmenistan,17479,617265,72.4,2556.7,241.4,,
Uganda,14.2,500,0,0,0,,
Ukraine,604.1,21332.4,17.4,614.4,34.7,,
United Arab Emirates,6091,215101.6,55.8,1969.3,109.2,,
United Kingdom,206,7274.8,39.7,1400.3,5.2,,
United States of America (USA),10440.5,368704,767.3,27096.4,13.6,,
Uruguay,0,0,0,0,0,,
Uzbekistan,1085.9,38347.2,57.7,2039.4,18.8,,
Venezuela,5617.2,198368,32.4,1145,173.2,,
Vietnam,617.1,21793,10.7,376.5,57.9,,
Yemen,266.3,9403.3,2.7,94,100,,
Zimbabwe,0,0,0,0,0,,
